barId,barName,barType,addressType,addressName,addressNumber,neighborhoodId,neighborhoodName,neighborhoodName2,neighborhoodWikidata,neighborhoodWikidata2,districtId,districtName2,districtWikidata,districtWikidata2,districtName,postCode,latitude,longitude,location,cityName,cityName2,cityWikidata,cityWikidata2
﻿99400188606,Bar Musical Jazzman,Bars I Pubs Musicals,CARRER,ROGER DE FLOR,238,7,La Dreta De L'eixample,Dreta de l'Eixample,Q1904302,https://www.wikidata.org/wiki/Q1904302,2,Eixample,Q64124,https://www.wikidata.org/wiki/Q64124,Eixample,8025,41.40152,2.16929,"41.40152,2.16929",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400128206,Pub Irlandès Mccarthy's Bar,Bars I Pubs Musicals|Cocteleries|Xampanyeries,,VIA LAIETANA,44,4,"Sant Pere, Santa Caterina I La Ribera",Sant Pere,Q3826875,https://www.wikidata.org/wiki/Q3826875,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8003,41.38622,2.17598,"41.38622,2.17598",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿98238104125,Pub Anglès The Black Horse,Bars I Pubs Musicals,CARRER,ALLADA-VERMELL,16,4,"Sant Pere, Santa Caterina I La Ribera",Sant Pere,Q3826875,https://www.wikidata.org/wiki/Q3826875,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8003,41.38670,2.18105,"41.38670,2.18105",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿75990100097,Bar Musical La Torre Rosa,Bars I Pubs Musicals|Cocteleries|Xampanyeries,CARRER,FRANCESC TÀRREGA,22,62,El Congrés I Els Indians,El Congrés i els Indians,Q3813818,https://www.wikidata.org/wiki/Q3813818,9,Sant Andreu,Q1650230,https://www.wikidata.org/wiki/Q1650230,Sant Andreu,8027,41.42271,2.18050,"41.42271,2.18050",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿75990174513,Dome Club Barcelona,Discoteques|Salons De Ball,,LA RAMBLA,33,1,El Raval,El Raval,Q1758503,https://www.wikidata.org/wiki/Q1758503,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8002,41.37904,2.17489,"41.37904,2.17489",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400155586,Cocteleria Paradiso,Cocteleries|Xampanyeries,CARRER,RERE PALAU,4,4,"Sant Pere, Santa Caterina I La Ribera",Sant Pere,Q3826875,https://www.wikidata.org/wiki/Q3826875,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8003,41.38371,2.18369,"41.38371,2.18369",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿92086021222,Bar Musical Miramelindo,Bars I Pubs Musicals,PASSEIG,BORN,15,4,"Sant Pere, Santa Caterina I La Ribera",Sant Pere,Q3826875,https://www.wikidata.org/wiki/Q3826875,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8003,41.38461,2.18255,"41.38461,2.18255",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿92205145712,Jamboree,Bars I Pubs Musicals|Discoteques,,REIAL,17,2,El Barri Gòtic,Gothic Quarter,Q17154,https://www.wikidata.org/wiki/Q17154,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8002,41.37973,2.17528,"41.37973,2.17528",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿75990477616,Bar Restaurant Hard Rock Café,Bars I Pubs Musicals|Restaurants,,DE CATALUNYA,21,2,El Barri Gòtic,Gothic Quarter,Q17154,https://www.wikidata.org/wiki/Q17154,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8002,41.38594,2.17073,"41.38594,2.17073",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿75990411185,Bar Musical Espai Barroc,Bars I Pubs Musicals,CARRER,MONTCADA,20,4,"Sant Pere, Santa Caterina I La Ribera",Sant Pere,Q3826875,https://www.wikidata.org/wiki/Q3826875,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8003,41.38465,2.18155,"41.38465,2.18155",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
